ablation,video_file,video_timestamp_sec,prediction,ground_truth,combined_score,image_score,sensor_boost,correct
ablation1b,flood_video_20251005_150257.mp4,0.5,0,1,,,,False
ablation1b,flood_video_20251005_150257.mp4,20.0,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,7.5,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,11.5,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,27.0,0,1,,,,False
ablation1b,flood_video_20251005_150257.mp4,25.5,0,0,,,,True
ablation1b,flood_video_20251005_150257.mp4,29.5,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,10.0,2,2,,,,True
ablation1b,flood_video_20251005_150257.mp4,6.5,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,13.5,2,2,,,,True
ablation1b,flood_video_20251005_150257.mp4,5.5,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,28.5,0,1,,,,False
ablation1b,flood_video_20251005_150257.mp4,9.5,1,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,25.0,0,0,,,,True
ablation1b,flood_video_20251005_150257.mp4,24.0,0,0,,,,True
ablation1b,flood_video_20251005_150257.mp4,8.5,1,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,27.5,0,1,,,,False
ablation1b,flood_video_20251005_150257.mp4,4.5,0,1,,,,False
ablation1b,flood_video_20251005_150257.mp4,12.0,2,2,,,,True
ablation1b,flood_video_20251005_150257.mp4,19.0,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,23.0,0,1,,,,False
ablation1b,flood_video_20251005_150257.mp4,15.5,0,2,,,,False
ablation1b,flood_video_20251005_150257.mp4,3.5,0,0,,,,True
ablation1b,flood_video_20251005_150257.mp4,2.5,0,0,,,,True
ablation1b,flood_video_20251005_150257.mp4,14.0,2,2,,,,True
ablation1b,flood_video_20251005_150257.mp4,22.0,0,1,,,,False
ablation1b,flood_video_20251005_150257.mp4,18.0,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,28.0,0,0,,,,True
ablation1b,flood_video_20251005_150218.mp4,12.5,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,9.0,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,10.0,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,13.5,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,29.5,0,0,,,,True
ablation1b,flood_video_20251005_150218.mp4,23.0,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,18.0,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,3.5,0,2,,,,False
ablation1b,flood_video_20251005_150218.mp4,4.0,0,2,,,,False
ablation1b,flood_video_20251005_150218.mp4,19.0,2,2,,,,True
ablation1b,flood_video_20251005_150218.mp4,24.0,2,2,,,,True
